PosX,PosY,PosZ,ZMode,Begin,End,Sections,StepSize,CycleCount,CycleTime,WaitTime,ValidStack,PositionIdentifier,FileNameBase,MartixIdentifier,TileScanIdentifier,AFCOffset,Valid,SuperZMode,ZPosition
12643335,6281080,0,2,568485,568485,1,0,1,0,0,0,Position50,,0,0,-2,1,1,0.0021602457
12643335,6485880,0,2,568023,568023,1,0,1,0,0,0,Position51,,0,0,-2,1,1,0.0021584909
12643335,6690680,0,2,567562,567562,1,0,1,0,0,0,Position52,,0,0,-2,1,1,0.0021567362
12643335,6895480,0,2,567100,567100,1,0,1,0,0,0,Position53,,0,0,-2,1,1,0.0021549815
12643335,7100280,0,2,566638,566638,1,0,1,0,0,0,Position54,,0,0,-2,1,1,0.0021532268
12848135,5052280,0,2,571471,571471,1,0,1,0,0,0,Position55,,0,0,-2,1,1,0.0021715922
12848135,5257080,0,2,571009,571009,1,0,1,0,0,0,Position56,,0,0,-2,1,1,0.0021698374
12848135,5461880,0,2,570548,570548,1,0,1,0,0,0,Position57,,0,0,-2,1,1,0.0021680827
12848135,5666680,0,2,570086,570086,1,0,1,0,0,0,Position58,,0,0,-2,1,1,0.0021663280
12848135,5871480,0,2,569624,569624,1,0,1,0,0,0,Position59,,0,0,-2,1,1,0.0021645733
12848135,6076280,0,2,569162,569162,1,0,1,0,0,0,Position60,,0,0,-2,1,1,0.0021628186
12848135,6281080,0,2,568701,568701,1,0,1,0,0,0,Position61,,0,0,-2,1,1,0.0021610639
12848135,6485880,0,2,568239,568239,1,0,1,0,0,0,Position62,,0,0,-2,1,1,0.0021593092
12848135,6690680,0,2,567777,567777,1,0,1,0,0,0,Position63,,0,0,-2,1,1,0.0021575545
12848135,6895480,0,2,567315,567315,1,0,1,0,0,0,Position64,,0,0,-2,1,1,0.0021557998
12848135,7100280,0,2,566853,566853,1,0,1,0,0,0,Position65,,0,0,-2,1,1,0.0021540451
13052935,5052280,0,2,571686,571686,1,0,1,0,0,0,Position66,,0,0,-2,1,1,0.0021724104
13052935,5257080,0,2,571225,571225,1,0,1,0,0,0,Position67,,0,0,-2,1,1,0.0021706557
13052935,5461880,0,2,570763,570763,1,0,1,0,0,0,Position68,,0,0,-2,1,1,0.0021689010
13052935,5666680,0,2,570301,570301,1,0,1,0,0,0,Position69,,0,0,-2,1,1,0.0021671463
13052935,5871480,0,2,569839,569839,1,0,1,0,0,0,Position70,,0,0,-2,1,1,0.0021653916
13052935,6076280,0,2,569378,569378,1,0,1,0,0,0,Position71,,0,0,-2,1,1,0.0021636369
13052935,6281080,0,2,568916,568916,1,0,1,0,0,0,Position72,,0,0,-2,1,1,0.0021618822
13052935,6485880,0,2,568454,568454,1,0,1,0,0,0,Position73,,0,0,-2,1,1,0.0021601274
13052935,6690680,0,2,567992,567992,1,0,1,0,0,0,Position74,,0,0,-2,1,1,0.0021583727
13052935,6895480,0,2,567531,567531,1,0,1,0,0,0,Position75,,0,0,-2,1,1,0.0021566180
13052935,7100280,0,2,567069,567069,1,0,1,0,0,0,Position76,,0,0,-2,1,1,0.0021548633
13257735,5052280,0,2,571902,571902,1,0,1,0,0,0,Position77,,0,0,-2,1,1,0.0021732287
